ticker,market,sector,name,market_cap,rank,as_of
028670,KOSPI,"해상화물운송(외항,운수보관)",팬오션,2160900000000.0,177,2025-12-31
004800,KOSPI,"스판덱스,합성원사,나일론,폴리에스터,타이어코드지,PET병,수지제품,중전기제품(변압기,차단기),사무용기계,컴퓨터 제조/건축공사",효성,2121300000000.0,178,2025-12-31
069620,KOSPI,"양약,의료기기 제조/화장품,의약부의품 도소매/부동산 임대",대웅제약,2098300000000.0,179,2025-12-31
069960,KOSPI,백화점,현대백화점,2097600000000.0,180,2025-12-31
023530,KOSPI,"백화점(의류,식품 및 잡화),할인점 운영/전자상거래",롯데쇼핑,2096600000000.0,181,2025-12-31
039200,KOSDAQ,신약연구개발,오스코텍,2048900000000.0,182,2025-12-31
489790,KOSPI,비금융지주회사,한화비전,2047500000000.0,183,2025-12-31
476830,KOSDAQ,"인체질환치료제 및 진단제, 진단용 유전자재조합 의약품",알지노믹스,2039700000000.0,184,2025-12-31
357780,KOSDAQ,Materials,솔브레인,2037984292000.0,185,2025-12-31
336260,KOSPI,연료전지,두산퓨얼셀,2017000000000.0,186,2025-12-31
005850,KOSPI,"자동차부품(자동차램프, 전동화부품, 전자부품) 제조, 판매",에스엘,2011900000000.0,187,2025-12-31
010060,KOSPI,"타르제품,카본블랙,무수프탈산,농약원제,석탄화학제품,정밀화학제품,플라스틱창호재 제조,판매",OCI홀딩스,2007600000000.0,188,2025-12-31
097230,KOSPI,"선박건조,기계플랜트 제조/토목공사,건축공사,조경공사,전기공사,가스공사,준설공사,기계설비공사",HJ중공업,2005800000000.0,189,2025-12-31
005290,KOSDAQ,"반도체,LCD용재료(감광제,봉지제),발포제",동진쎄미켐,1936400000000.0,190,2025-12-31
006040,KOSPI,지주회사,동원산업,1924100000000.0,191,2025-12-31
282330,KOSPI,체인화 편의점,BGF리테일,1903500000000.0,192,2025-12-31
475830,KOSDAQ,항체약물접합체(ADC) 단백질 분해제(TPD) 연구 개발,오름테라퓨틱,1902000000000.0,193,2025-12-31
192820,KOSPI,화장품,코스맥스,1874700000000.0,194,2025-12-31
011210,KOSPI,"자동차부품, 공작기계 등",현대위아,1870800000000.0,195,2025-12-31
160190,KOSDAQ,"전동기 및 발전기 (범용모터, 서보모터)",하이젠알앤엠,1869700000000.0,196,2025-12-31
020150,KOSPI,"인쇄회로기판(PCB)용 전해동박(ACF,UCF),에폭시용 동박,전해콘덴서용 알루미늄박 제조,판매",롯데에너지머티리얼즈,1868900000000.0,197,2025-12-31
112610,KOSPI,풍력발전타워 제조,씨에스윈드,1846600000000.0,198,2025-12-31
007070,KOSPI,"체인화 편의점,슈퍼마켓,마트,전자상거래/부동산(빌딩) 임대",GS리테일,1829000000000.0,199,2025-12-31
008770,KOSPI,"면세판매,관광숙박,외식사업,예식업",호텔신라,1790600000000.0,200,2025-12-31
