ticker,corp_code,market,name,first_month,last_month,months_in_universe
032500,00226352,KOSDAQ,,2019-05,2024-10,66
032540,00201733,KOSDAQ,,2022-03,2022-06,4
032580,00189538,KOSDAQ,,2023-06,2024-06,13
032620,00220057,KOSDAQ,,2020-05,2024-06,14
032820,00231044,KOSDAQ,,2019-01,2026-06,72
032850,00231707,KOSDAQ,,2020-04,2024-06,16
032940,00210980,KOSDAQ,,2025-06,2026-04,11
033100,00185356,KOSDAQ,,2019-01,2026-06,32
033110,00194275,KOSDAQ,,2019-05,2020-02,10
033160,00121686,KOSDAQ,,2021-08,2026-06,19
033170,00158219,KOSDAQ,,2019-01,2019-12,12
033180,00193009,KOSPI,,2019-01,2021-11,35
033230,00229021,KOSDAQ,,2021-10,2024-11,26
033250,00125576,KOSPI,,2019-09,2020-12,16
033270,00158963,KOSPI,,2020-08,2022-06,23
033310,00143226,KOSDAQ,,2021-06,2022-12,19
033320,00223513,KOSDAQ,,2020-10,2025-08,17
033340,00205003,KOSDAQ,,2019-01,2026-05,31
033500,00231105,KOSDAQ,,2025-09,2026-06,10
033530,00134510,KOSPI,,2019-01,2019-06,6
033600,00264787,KOSDAQ,,2019-01,2019-02,2
033640,00227333,KOSDAQ,,2019-01,2024-09,69
033790,00276083,KOSDAQ,,2026-05,2026-06,2
033830,00204642,KOSDAQ,,2021-10,2022-05,8
03473K,,KOSPI,,2020-01,2020-10,10
034940,00231831,KOSDAQ,,2020-05,2021-02,10
035080,00244561,KOSDAQ,,2021-02,2022-08,19
035460,00258421,KOSDAQ,,2022-05,2023-01,9
035510,00219486,KOSPI,,2024-12,2026-06,19
035600,00264547,KOSDAQ,,2019-01,2023-04,34
035620,00259590,KOSDAQ,,2019-05,2020-07,15
035760,00265324,KOSDAQ,,2019-01,2026-06,90
035810,00242378,KOSDAQ,,2019-05,2022-10,33
035890,00219848,KOSDAQ,,2019-01,2020-01,13
035900,00258689,KOSDAQ,,2019-01,2026-06,90
036030,00260958,KOSDAQ,,2021-03,2021-08,6
036090,00258360,KOSDAQ,,2021-01,2022-04,10
036120,00260745,KOSDAQ,,2020-07,2023-05,15
036170,00232821,KOSDAQ,,2021-06,2021-08,3
036200,00260569,KOSDAQ,,2019-01,2024-11,45
036220,00260657,KOSDAQ,,2024-03,2024-05,3
036420,00203315,KOSPI,,2019-01,2024-01,61
036480,00177320,KOSDAQ,,2019-01,2019-07,7
036490,00110051,KOSDAQ,,2019-01,2021-11,35
036540,00301246,KOSDAQ,,2019-05,2026-06,71
036560,00141389,KOSDAQ,,2024-10,2025-02,5
036630,00268002,KOSDAQ,,2019-01,2021-06,12
036810,00223434,KOSDAQ,,2020-06,2025-05,34
036830,00247975,KOSDAQ,,2019-07,2025-04,31
036930,00252135,KOSDAQ,,2022-01,2026-06,54
037030,00231354,KOSDAQ,,2021-12,2026-06,11
037070,00238153,KOSDAQ,,2019-05,2021-10,16
037230,00198192,KOSDAQ,,2020-12,2021-02,3
037270,00249247,KOSPI,,2020-09,2026-05,47
037370,00261054,KOSDAQ,,2019-01,2023-10,13
037440,00236863,KOSDAQ,,2022-02,2023-07,18
037560,00222532,KOSPI,,2021-06,2022-12,15
037950,00242712,KOSDAQ,,2019-01,2024-10,38
038060,00406329,KOSDAQ,,2019-01,2019-03,3
038070,00373447,KOSDAQ,,2021-05,2022-02,10
038110,00139153,KOSDAQ,,2021-09,2026-06,33
038160,00334624,KOSDAQ,,2019-08,2020-03,8
038290,00261373,KOSDAQ,,2020-03,2020-11,9
038500,00239639,KOSDAQ,,2021-03,2026-06,12
038530,00255105,KOSDAQ,,2021-09,2022-04,8
038540,00306162,KOSDAQ,,2019-08,2020-08,13
038620,00264228,KOSDAQ,,2021-05,2022-07,15
038680,00264635,KOSDAQ,,2019-06,2020-02,9
038870,00287812,KOSDAQ,,2019-01,2024-03,9
038880,00252269,KOSDAQ,,2021-01,2022-04,16
039030,00246417,KOSDAQ,,2019-01,2026-06,90
039200,00263654,KOSDAQ,,2019-01,2026-06,90
039240,00206039,KOSDAQ,,2021-09,2025-07,13
039290,00243757,KOSDAQ,,2021-12,2022-11,12
039440,00298340,KOSDAQ,,2023-09,2026-06,34
039560,00268251,KOSDAQ,,2023-07,2023-11,5
039610,00217743,KOSDAQ,,2019-01,2025-10,22
039830,00141556,KOSDAQ,,2019-01,2020-05,17
039860,00230425,KOSDAQ,,2020-08,2021-02,7
039980,00369213,KOSDAQ,,2024-05,2025-11,19
040300,00200275,KOSDAQ,,2022-09,2023-06,10
041020,00269852,KOSDAQ,,2023-07,2025-12,30
041140,00266943,KOSDAQ,,2019-01,2022-03,28
041190,00231664,KOSDAQ,,2019-01,2026-06,87
041440,00228536,KOSDAQ,,2022-05,2025-06,23
041460,00361169,KOSDAQ,,2021-07,2022-06,12
041510,00260930,KOSDAQ,,2019-01,2026-06,90
041590,00297448,KOSDAQ,,2020-01,2020-02,2
041910,00463342,KOSDAQ,,2019-12,2025-07,14
041920,00273439,KOSDAQ,,2022-02,2022-04,3
041930,00199988,KOSDAQ,,2019-04,2019-11,8
041960,00187415,KOSDAQ,,2019-01,2021-02,26
042000,00260879,KOSDAQ,,2019-01,2026-06,66
042040,00206686,KOSDAQ,,2020-09,2021-11,15
042110,00171867,KOSDAQ,,2019-01,2021-09,9
042370,00103644,KOSDAQ,,2023-09,2024-09,13
042420,00266952,KOSDAQ,,2021-12,2022-06,7
042510,00255433,KOSDAQ,,2019-05,2022-04,21
042600,00147994,KOSDAQ,,2021-11,2023-09,10
042940,00232007,KOSDAQ,,2025-04,2025-09,6
043200,00266934,KOSDAQ,,2020-01,2021-01,13
043220,00317487,KOSDAQ,,2019-11,2021-10,12
043260,00317210,KOSDAQ,,2026-02,2026-06,5
043590,00260611,KOSDAQ,,2019-01,2019-03,3
043610,00223762,KOSDAQ,,2021-03,2021-08,6
043910,00418379,KOSDAQ,,2021-06,2023-03,20
044060,00291860,KOSDAQ,,2022-06,2023-06,13
044180,00111218,KOSDAQ,,2019-01,2019-01,1
044340,00293886,KOSDAQ,,2019-04,2021-06,27
044380,00269241,KOSPI,,2020-02,2020-06,5
044490,00186799,KOSDAQ,,2025-06,2026-06,13
044960,00145473,KOSDAQ,,2019-06,2021-02,21
045060,00220969,KOSDAQ,,2020-01,2020-10,10
045100,00216762,KOSDAQ,,2023-09,2023-11,3
045390,00318316,KOSDAQ,,2019-01,2022-09,45
045520,00185222,KOSDAQ,,2019-04,2020-11,20
045660,00256502,KOSDAQ,,2020-07,2025-07,31
045890,00455112,KOSDAQ,,2019-01,2020-06,18
046120,00297989,KOSDAQ,,2019-01,2026-06,22
046310,00360036,KOSDAQ,,2021-07,2021-08,2
046440,00405278,KOSDAQ,,2020-06,2022-08,14
046890,00130763,KOSDAQ,,2019-01,2023-01,49
046940,00363246,KOSDAQ,,2019-01,2019-03,3
046970,00296005,KOSDAQ,,2023-10,2026-06,8
047080,00348292,KOSDAQ,,2021-04,2021-09,6
047310,00269612,KOSDAQ,,2019-01,2024-06,39
047400,00369833,KOSPI,,2019-05,2024-03,42
047560,00273420,KOSDAQ,,2024-01,2025-11,23
047770,00329093,KOSDAQ,,2025-10,2026-06,9
047820,00299464,KOSDAQ,,2019-01,2022-09,45
047920,00336817,KOSDAQ,,2024-03,2026-03,25
048260,00341916,KOSDAQ,,2019-01,2023-05,50
048410,00313649,KOSDAQ,,2019-01,2026-06,90
048470,00109268,KOSDAQ,,2019-01,2019-04,4
048530,00292434,KOSDAQ,,2019-01,2023-02,50
048550,00185046,KOSDAQ,,2021-07,2023-05,23
048910,00351807,KOSDAQ,,2021-04,2022-01,10
049070,00226866,KOSDAQ,,2023-03,2025-04,26
049080,00377018,KOSDAQ,,2019-04,2026-06,22
049180,00310156,KOSDAQ,,2019-01,2025-03,22
049470,00351579,KOSDAQ,,2025-09,2025-11,3
049480,00335076,KOSDAQ,,2020-02,2022-05,23
049630,00147082,KOSDAQ,,2025-12,2026-06,7
049720,00336297,KOSDAQ,,2022-09,2023-05,9
049950,00447760,KOSDAQ,,2019-01,2024-09,29
050110,00330044,KOSDAQ,,2022-06,2023-03,10
050860,00138747,KOSDAQ,,2019-01,2022-07,9
050890,00364403,KOSDAQ,,2019-05,2026-06,43
051370,00369170,KOSDAQ,,2019-01,2020-09,21
051490,00297095,KOSDAQ,,2020-10,2021-03,6
051630,00347734,KOSPI,,2019-01,2019-09,9
051915,,KOSPI,,2020-08,2026-06,71
051980,00347716,KOSDAQ,,2024-07,2026-06,24
052020,00273110,KOSDAQ,,2019-01,2024-05,41
052190,00347877,KOSDAQ,,2019-12,2020-03,4
052220,00370006,KOSDAQ,,2022-11,2023-03,5
052260,00347062,KOSDAQ,,2019-11,2020-12,14
052400,00349732,KOSDAQ,,2025-04,2026-06,15
052420,00350048,KOSDAQ,,2019-10,2025-12,34
052460,00405719,KOSDAQ,,2021-04,2021-07,4
052600,00244783,KOSDAQ,,2021-04,2022-10,12
052670,00185505,KOSDAQ,,2019-01,2021-02,24
053030,00216027,KOSDAQ,,2019-01,2026-03,75
053050,00351995,KOSDAQ,,2021-12,2025-03,37
053080,00304076,KOSDAQ,,2020-09,2021-03,7
053260,00105475,KOSDAQ,,2022-04,2023-04,13
053270,00202060,KOSDAQ,,2021-03,2022-09,8
053280,00362858,KOSDAQ,,2021-08,2025-01,7
053290,00363927,KOSDAQ,,2021-04,2022-05,14
053300,00306454,KOSDAQ,,2020-07,2025-11,15
053580,00323868,KOSDAQ,,2019-01,2025-08,26
053610,00325112,KOSDAQ,,2023-07,2024-06,12
053690,00413523,KOSPI,,2022-09,2025-04,32
053700,00351092,KOSDAQ,,2019-01,2019-03,3
053800,00298270,KOSDAQ,,2019-01,2026-03,82
053980,00226547,KOSDAQ,,2020-04,2020-11,8
054210,00206659,KOSDAQ,,2019-01,2020-02,14
054220,00201432,KOSDAQ,,2019-01,2019-03,3
054450,00423177,KOSDAQ,,2020-09,2024-09,40
054540,00250614,KOSDAQ,,2025-09,2026-06,10
054780,00353762,KOSDAQ,,2019-01,2020-11,23
